LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
30099,13.2,24.5,20.7,6.5,9.8,84.0,6.0,68.4,59.5,6.3,24.3,26.1,20.2,64.5,8.6,2.6,23.1,67.8,14.2,29.3,11.8,33.4,3.1,15.4
30101,16.8,25.5,21.7,6.4,9.8,82.3,6.8,67.2,55.4,7.2,22.8,22.7,23.8,57.4,9.7,2.8,27.4,67.1,15.2,32.8,13.5,34.9,3.5,19.7
30103,13.7,24.9,20.6,6.5,10.0,83.7,6.1,68.5,58.3,6.3,25.1,23.3,20.5,62.1,9.0,2.7,24.2,68.6,14.4,31.4,12.2,33.1,3.1,15.6
30105,13.0,26.5,19.8,6.6,9.8,84.2,6.0,68.5,60.1,6.1,26.8,23.7,20.7,61.8,9.2,2.6,24.7,68.3,13.8,33.7,11.8,31.9,3.1,15.4
30107,18.1,25.7,19.7,6.5,10.3,81.4,7.0,66.9,53.8,7.7,21.6,22.4,24.2,56.3,9.8,2.9,27.9,65.9,15.8,32.1,14.1,33.1,3.6,20.4
30109,15.5,25.2,20.1,6.5,9.9,81.6,6.7,68.1,54.2,7.1,22.8,22.3,22.4,59.8,9.6,2.8,25.5,65.0,15.1,31.9,13.1,34.4,3.4,18.5
30111,12.5,23.8,21.0,6.6,9.7,85.5,5.5,72.2,61.9,5.7,25.4,25.8,19.5,66.9,8.0,2.5,23.2,72.4,13.3,29.1,11.3,31.7,2.8,13.9
31001,14.0,23.2,22.5,6.6,8.6,84.1,6.0,70.2,62.3,6.0,24.6,24.1,17.3,67.8,9.0,2.6,24.0,67.3,12.0,39.2,10.7,32.5,2.9,12.7
31003,13.0,23.2,23.1,6.5,8.6,83.3,6.0,68.3,59.5,6.5,23.8,22.7,18.2,64.6,8.9,2.6,24.6,68.8,12.6,37.7,10.7,31.1,2.9,15.1
31005,11.9,23.2,22.8,6.6,8.5,84.3,5.8,69.0,61.5,5.9,24.1,23.0,16.4,66.2,8.5,2.5,23.7,69.2,11.8,37.3,10.2,30.3,2.8,13.0
31007,12.8,23.6,22.3,6.5,8.5,84.6,5.7,69.0,60.4,5.8,23.7,22.9,16.8,63.3,8.6,2.5,23.9,67.3,11.9,37.8,10.3,31.8,2.8,12.8
31009,11.6,22.8,23.9,6.6,8.6,84.9,5.6,68.8,62.1,5.8,23.9,23.6,16.7,66.2,8.1,2.4,23.2,70.9,11.8,36.2,9.9,29.4,2.7,12.9
31011,12.3,22.8,25.5,6.6,8.4,84.0,5.8,69.4,64.3,6.0,23.6,23.1,17.4,63.1,8.3,2.5,25.0,70.5,11.8,35.9,10.1,29.3,2.8,14.2
31013,14.3,23.7,21.3,6.5,8.5,83.1,5.8,67.2,57.5,6.0,23.1,21.8,18.5,61.2,9.1,2.5,25.7,63.7,12.3,35.2,10.9,32.2,2.9,14.5
